"NC"	"PFOS"	"PFOA"	"Aflatoxin.B1"	"Cadmium.chloride"	"Lasiocarpine"
26.392847	25.40642	25.98053	25.736254	25.22081	25.341742
25.631376	24.623396	25.335527	25.67851	24.447826	24.777151
29.152294	27.786871	27.828499	27.538378	26.390198	24.93272
28.120623	26.746885	29.199686	31.246462	27.729866	29.225075
24.599451	23.86249	24.459866	25.295303	24.259563	26.72359
26.548986	25.794859	26.385214	27.51572	26.166162	26.85473
23.324238	22.360968	23.149899	23.652979	22.72633	23.863613
27.241373	25.725042	26.88652	25.917686	24.9935	23.901491
26.852898	26.151886	25.529333	28.327763	25.917793	25.543959
25.331152	24.427814	24.523264	23.980375	23.876554	22.961985
27.200071	26.582413	26.806545	27.166185	26.869907	26.42537
23.6874	22.933813	23.281504	23.968538	22.799397	23.15642
25.443026	24.311874	24.778046	26.483791	24.51144	24.58366
34.16167	31.236004	31.280294	NA	32.11053	35.435047
22.55693	21.905287	21.953783	23.364336	22.362026	22.808285
26.293802	26.150705	26.009111	27.572897	26.901987	29.183577
29.598063	28.352053	29.863518	30.29792	29.828125	28.45035
24.457384	23.78473	24.878952	23.89298	23.752325	23.527481
25.224302	24.63694	25.164604	24.33879	24.434036	23.7105
22.964075	23.115679	23.24804	23.768278	23.587011	24.838507
24.42098	22.626867	24.514078	22.878336	21.818697	19.629204
35.998173	33.675655	38.84478	34.85749	37.39548	31.813139
22.47254	21.436726	21.971226	22.21119	21.714132	20.849976
25.915022	25.115149	26.761347	27.336485	25.376274	26.853096
22.853184	22.505056	23.020592	23.447836	23.514278	26.664896
22.181656	20.712082	21.503998	23.186266	21.976864	23.96287
29.685871	27.956738	29.953205	30.848999	27.970541	27.803513
24.132956	23.576693	24.643934	25.310543	23.717674	25.26371
24.644114	23.437895	24.68759	24.930315	23.431248	23.36372
24.388021	23.427402	24.98832	24.55902	23.2497	22.47571
22.346546	21.64727	22.232523	22.340998	21.656977	22.102837
21.138077	20.184036	21.075531	21.412867	20.583294	20.18939
27.625832	26.474018	26.23994	27.875456	25.927711	24.651587
31.217167	29.78003	29.55968	29.567652	29.476213	28.546043
37.591232	35.797974	34.316364	NA	38.177063	36.4191
23.717117	22.728083	23.328394	24.670448	23.153913	24.308968
35.878254	33.74759	33.203785	NA	36.200565	32.418743
28.2184	26.535322	27.613832	26.56594	26.119486	25.251348
22.767857	22.580963	22.555065	22.90829	22.384312	21.482067
38.82476	37.497116	37.634583	NA	36.96794	35.28972
33.91063	38.700283	39.171837	NA	37.833603	39.05428
23.975655	24.638407	23.927513	25.72452	25.141647	25.363382
19.936907	20.151106	20.13489	20.754116	20.4152	21.57611
18.892262	19.440948	19.018732	20.338448	20.538147	22.206486
22.717041	22.118622	23.20112	22.733534	22.144579	22.294006
22.478333	21.54006	23.077026	22.709078	21.68718	21.718897
24.97838	24.615997	25.376165	25.907267	24.685663	25.104107
24.885267	24.006449	24.49664	25.474867	24.142338	25.18359
25.38836	23.16186	24.815508	25.496424	23.014265	22.406391
24.250065	23.015404	24.35578	25.099926	23.352823	23.237413
23.888325	23.648132	24.48426	24.55296	24.074	24.546556
25.12772	24.094437	25.1674	25.647518	24.49784	24.16924
18.547964	16.955227	18.180357	18.845356	17.820692	19.94707
25.869831	24.428888	26.227488	29.396624	26.322645	31.297697
32.90325	31.257591	32.90795	34.59453	31.47501	33.52371
31.615452	31.93795	33.894794	33.685566	32.375813	32.88885
24.005384	23.492765	23.599903	24.276566	23.458351	23.794283
20.75194	20.2424	20.460842	20.611574	20.423574	19.85754
27.299786	26.743221	26.962698	27.851627	26.653214	27.457083
25.50123	24.6624	25.023746	26.701208	25.752867	27.825937
23.97299	23.934128	23.88424	25.21697	24.449818	26.13912
24.411684	23.84726	23.858305	24.93526	23.968515	23.756271
23.610073	22.930342	23.602257	24.638105	23.063194	22.8483
21.907495	21.416643	21.546988	21.959652	21.530378	22.356735
NA	33.49604	NA	33.65609	NA	NA
26.668478	26.381475	26.423223	26.759033	26.436209	26.86268
24.169497	23.8148	23.918768	24.349504	24.585611	25.289404
27.197222	26.506489	27.176704	27.001766	26.98751	27.46704
23.213484	22.014826	22.780115	22.988817	21.851494	20.949453
31.434105	28.88904	30.426788	31.6485	29.367962	29.611408
24.014412	22.87375	24.175364	23.233889	22.477015	22.384468
25.830278	24.482681	25.666027	26.71635	24.732422	24.624125
NA	NA	NA	NA	NA	34.122643
27.213907	26.407406	26.642345	27.120169	26.643913	NA
28.789795	26.585396	28.400133	28.645395	26.45098	25.418692
24.753801	23.325874	24.73806	24.72716	23.234753	22.838085
24.655521	22.923246	24.231451	25.233938	23.309519	NA
24.000744	24.365961	24.810396	25.288074	24.348753	24.257483
24.390965	23.447557	23.923283	23.519672	23.391758	23.326366
33.233185	32.71838	32.469204	31.213392	30.875301	30.94954
27.555056	26.779352	26.691914	29.281754	27.51314	28.917053
24.612738	23.396744	22.503195	25.73126	23.693316	23.539074
24.745766	24.124104	24.072418	24.462337	24.255924	25.048567
27.460436	26.393099	26.52707	28.714256	26.580063	25.776297
26.18845	25.356228	25.411001	26.46739	25.412506	26.006784
24.725262	24.241663	24.305136	24.914577	23.948643	23.926418
25.249182	24.140055	24.51454	26.50959	24.233635	23.776808
22.81771	22.428558	22.718292	23.308407	22.662422	22.629606
32.97837	34.00565	32.90213	NA	NA	39.30172
33.88771	32.660397	33.78496	33.99766	33.414562	32.23968
31.108023	31.999077	32.871788	31.915264	33.448196	32.917824
22.710297	20.841984	21.493843	22.79974	22.55461	24.432434
32.933304	37.32324	NA	NA	NA	36.42422
21.66533	21.633179	22.244085	23.300047	21.879974	25.963367
23.29378	22.010256	23.605797	23.21619	21.894375	21.663584
24.692509	24.337942	25.37667	25.4891	24.172283	24.585142
22.35339	20.642017	21.757843	22.648012	20.804676	22.248995
26.111357	25.170507	26.08996	26.996695	24.958443	24.420113
28.455065	27.584383	27.373577	28.681082	28.528624	27.477295
29.429089	27.473879	28.145203	29.101664	27.53546	27.403473
26.025137	24.741814	26.121769	25.615353	24.469715	24.013235
22.615047	21.593533	22.515528	22.31338	21.473862	20.51741
17.883804	16.568771	17.623125	17.772362	16.196024	16.186958
18.812567	18.143124	18.663454	19.301857	18.413418	17.998543
19.892952	18.485529	18.426392	20.328653	18.501049	18.695206
25.933685	24.944668	25.232346	24.802437	24.741861	23.747316
17.888285	16.888954	17.132353	17.901398	16.950087	16.64077
NA	39.11658	NA	NA	38.729076	36.7512
32.861164	37.377357	36.699528	36.85129	NA	35.489273
NA	39.379112	35.33837	39.036755	38.399864	33.82603
23.113474	22.41105	22.593338	24.244633	22.521801	21.514051
22.92643	22.360935	22.579481	24.286125	22.5312	21.585375
22.871729	22.210838	22.476114	23.87744	22.41825	21.531431
19.1458	18.931515	18.692915	19.231047	19.249441	18.781965
18.76245	18.783789	18.838879	18.99863	19.073042	18.70524
19.409496	19.326525	18.918753	19.39209	18.920527	18.694714
