"NC"	"PFOS"	"PFOA"	"Lasiocarpine"
23.90881	24.622099	24.60648	25.188816
38.22575	NA	NA	31.703283
26.421206	26.88288	26.834044	27.851206
25.738705	26.491638	26.741325	26.17521
22.767614	23.235891	23.314825	23.178736
22.809332	23.64711	23.241335	23.860388
22.714811	24.534082	24.19023	24.128513
23.662592	23.393269	23.55405	23.25234
31.65994	32.009617	32.24537	30.90011
26.301123	27.18945	27.4866	27.877304
25.811825	23.357866	22.782555	23.54873
23.853968	24.14434	23.757675	23.814905
25.806135	27.012024	26.681858	28.104843
25.295542	26.394432	25.51359	26.120584
23.889416	24.298153	24.11942	23.94725
23.898827	24.69299	24.176329	24.252039
22.098383	22.311375	22.117666	22.49345
32.53499	34.202797	32.17419	34.3597
31.898516	33.40772	33.245174	31.391098
31.873219	32.94147	31.684317	31.024769
21.89788	21.496557	21.176903	24.448412
NA	38.89647	33.196102	NA
20.174923	21.734358	21.807125	25.391968
21.452995	21.897509	21.884132	22.747053
23.548355	23.93569	23.918283	24.283728
19.928202	20.755608	20.733227	23.632885
24.46724	24.56329	25.17261	24.744677
27.556402	28.689241	27.734705	27.573982
27.567625	28.504387	28.235178	27.744501
24.61046	24.919615	25.48566	24.376577
21.183025	21.317503	21.496386	20.793009
16.270098	16.935926	16.869465	16.50765
17.963003	18.80157	18.253336	17.985327
18.330973	18.940857	18.912018	18.940714
25.255604	25.250525	25.156372	23.873247
17.15137	17.237696	17.138432	16.74152
38.956814	37.994453	NA	37.58471
39.631516	37.792015	38.408745	35.711376
36.167873	37.718338	33.732273	35.177647
21.888103	22.224699	22.219	21.821646
21.95426	22.139189	22.572489	21.711092
21.865187	22.111942	21.9525	21.753248
19.274338	19.388014	19.196444	18.762186
19.118332	19.34691	19.028786	18.76712
19.360464	19.792633	19.470594	18.678024
