Refseq;PFOS_Fold_Regulation;PFOS_pvalue;PFOA_Fold_Regulation;PFOA_pvalue;Aflatoxin B1_Fold_Regulation;Aflatoxin B1_pvalue;Cadmium chloride_Fold_Regulation;Cadmium chloride_pvalue;Lasiocarpine_Fold_Regulation;Lasiocarpine_pvalue
NM_000572;-1.39;0.15854;-1.27;0.23722;-1.03;0.883509;1.04;0.924797;-1.93;0.034729
NM_002188;-3.05;0.157661;-2.42;0.476281;-1.53;0.749628;-1.43;0.829506;1.01;0.726585
NM_000575;-1.02;0.874;-1.19;0.960285;2.59;0.049577;1.63;0.361106;4.49;0.001675
NM_000576;1.37;0.352046;1.44;0.277214;1.49;0.259635;1.11;0.782752;2.08;0.014836
NM_000586;-1.52;0.284707;-1.51;0.282899;-1.43;0.385321;-1.65;0.237327;-2.24;0.137138
NM_000589;-2.18;0.130258;-2.16;0.129464;-1.45;0.835656;-1.23;0.710426;-2.04;0.231513
NM_000879;-1.24;0.848205;1.54;0.341338;-1.39;0.751042;-1.98;0.13569;-2.51;0.150637
NM_000600;-1.29;0.250061;1.04;0.701134;1.17;0.282123;-1.45;0.217499;1.04;0.806299
NM_031479;1.43;0.333158;2.37;0.050135;-4.27;0.140831;-2.44;0.082138;-493.82;0.010074
NM_000887;-1.22;0.717149;1.13;0.736361;6.29;0.079037;2.65;0.201111;8.79;0.0008
NM_000214;1.13;0.388177;1.02;0.828963;1.66;0.114723;-1.29;0.095636;1.45;0.008968
NM_020655;-1.55;0.12848;-1.11;0.848326;1.15;0.696132;-1.35;0.33724;-1.64;0.17689
NM_014592;-1.21;0.344222;-1.2;0.327037;-1.14;0.687422;-1.32;0.212977;-1.78;0.049397
NM_000221;-1.45;0.139217;-1.37;0.191937;-2.18;0.047345;-1.91;0.079596;-16.36;0.003302
NM_006563;-1.05;0.78573;-1.24;0.31887;1.13;0.459494;1.02;0.921112;1.41;0.091536
NM_002312;-1.19;0.164222;-1.04;0.720662;-1.39;0.038778;-1.54;0.007546;-1.76;0.001169
NM_005572;-1.07;0.741738;-1.23;0.396527;1.04;0.936241;1.27;0.315725;-1.02;0.797323
NM_000237;-1.02;0.775959;-1.24;0.080212;-1.25;0.078112;-1.36;0.020492;-1.84;0.002381
NM_002340;-1.43;0.004948;-1.43;0.088891;-2.16;0.001564;-1.28;0.073267;-7.55;0.000041
NM_003695;-1.99;0.148712;-1.37;0.178958;1.02;0.788639;-1.61;0.298757;2.14;0.002574
NM_000239;-2.79;0.185499;-3.15;0.204627;-1.49;0.443456;-1.82;0.418352;-5.78;0.121217
NM_002361;-1.15;0.551548;-1.3;0.83037;1.78;0.169816;2.42;0.063135;-1.7;0.095941
NM_005908;-1.04;0.76602;-1.16;0.456852;1.01;0.960549;-1.16;0.096001;-1.48;0.004603
NM_000240;-1.03;0.867666;-1.08;0.753907;-1.66;0.000514;-1.4;0.066141;-3.15;0.000134
NM_000898;-1.04;0.74187;-1.1;0.460741;-1.51;0.083771;-1.67;0.024174;-5.61;0.000488
NM_002750;-1.06;0.695937;-1.08;0.61328;-1.03;0.889027;-1.3;0.09755;-1.31;0.046138
NM_003791;-1.08;0.135622;1.04;0.603548;1.05;0.450704;-1.11;0.347672;-1.53;0.002464
NM_015884;-1.17;0.109909;-1.01;0.874641;-1.49;0.05459;-1.13;0.153583;-1.49;0.004696
NM_021960;-1.21;0.122058;-1.02;0.829069;1;0.934214;-1.39;0.020656;-1.61;0.006214
NM_005917;-1.27;0.065859;-1.1;0.305786;-1.21;0.287561;-1.05;0.723724;-1.04;0.762746
NM_001039845;-1.12;0.635095;1.28;0.759157;-1.55;0.3514;-1.34;0.46374;-4.04;0.11582
NM_005918;-1.08;0.583015;-1.11;0.225985;-1.08;0.502243;-1.18;0.130118;-1.85;0.001269
NM_002392;-1.02;0.992444;-1;0.948297;1.43;0.161072;1.02;0.837997;1.78;0.001524
NM_006838;1.02;0.877183;-1.02;0.807174;-1;0.853693;-1.22;0.100823;1.12;0.298644
NM_002412;-1.03;0.793481;-1.03;0.815941;-1.46;0.230753;-1.51;0.111541;-2.38;0.017352
NM_002417;1.11;0.771187;-1.14;0.545599;2.12;0.141877;1.58;0.135249;2.93;0.000326
NM_000249;1.02;0.989807;-1.11;0.50935;1.22;0.434763;-1.25;0.245105;1.13;0.536265
NM_198205;-1.2;0.313737;-1.17;0.392784;-1.26;0.455185;-1.33;0.15172;-2.46;0.012979
NM_000250;-3.27;0.085861;-2.6;0.19603;1.23;0.539296;-1.01;0.609987;1.3;0.658021
NM_014046;1.19;0.719419;-1.04;0.776858;-1.23;0.570351;1.12;0.887681;-1.4;0.254243
NM_000251;1.59;0.110914;1.1;0.822816;1.65;0.133456;1.59;0.11731;3.39;0.001279
NM_000253;-1.27;0.070262;-1.25;0.315376;-2.27;0.030594;-1.63;0.037122;-24.13;0.000009
NM_003998;-1.06;0.628719;-1.05;0.715016;1.18;0.423878;-1.17;0.556145;-1.51;0.074667
NM_017921;1.08;0.548717;1;0.93849;-1.07;0.470706;-1;0.911438;-1.69;0.009312
NM_000903;-1.24;0.549868;-1.01;0.844742;1.38;0.48102;1.42;0.439626;2.89;0.003178
NM_021969;-1.19;0.326705;-1.95;0.260055;-3.49;0.029255;-1.49;0.271671;-10.32;0.002024
NM_005123;1.05;0.594826;1.06;0.611018;-1.58;0.134456;-1.42;0.027123;-7.44;0.000043
NM_003822;1.11;0.336463;1.05;0.631833;-1.63;0.035117;-1.34;0.008761;-2.36;0.000231
NM_006184;-1.03;0.600144;-1.03;0.856987;-1.34;0.050944;-1.26;0.036006;-3.31;0.000094
NM_002452;1.41;0.021561;-1.04;0.735425;2.14;0.014935;1.65;0.067941;3.98;0.000002
NM_015901;-1.12;0.64691;1.26;0.146305;-1.76;0.079509;-1.07;0.623285;-1.33;0.036895
NM_018283;1.12;0.285038;1.04;0.667461;1.57;0.158587;1.08;0.500645;2.16;0.000035
NM_024923;1.06;0.951781;1.13;0.735864;1.1;0.765536;-1.19;0.43116;-1.05;0.721573
NM_002541;-1.2;0.239406;-1.17;0.025619;-1.34;0.000991;-1.11;0.135741;-1.93;0.000008
NM_002542;1.01;0.866448;-1.03;0.663065;-1.68;0.018397;-1.09;0.599075;-1.63;0.00455
NM_001004467;1.52;0.215962;3.24;0.076123;-3.3;0.0449;1.38;0.408018;-3.94;0.068066
NM_006812;-1.06;0.697568;1.08;0.401371;-1.42;0.044652;-1.32;0.068265;-2.53;0.000879
NM_152672;-1.52;0.254069;-1.3;0.467141;-2.91;0.095267;-1.91;0.18375;-10.69;0.026154
NM_178859;1.75;0.028289;-1.12;0.535799;-1.15;0.605915;-1.27;0.333731;1.61;0.094013
NM_001618;1;0.965198;-1.19;0.536918;1.07;0.675845;-1.2;0.336212;-1.03;0.766547
NM_005484;1.24;0.453611;1.06;0.929956;1.49;0.307454;-1.02;0.868904;1.9;0.019228
NM_000282;-1.28;0.288016;-1.19;0.376009;-1.73;0.116161;-1.94;0.068662;-5.43;0.008128
NM_182649;1.13;0.683906;-1.37;0.439436;2.52;0.047329;1.65;0.066277;5.82;0.000195
NM_024411;1.33;0.413564;-1.7;0.112585;2.38;0.081855;1.06;0.621887;4.15;0.003481
NM_002624;-1.02;0.837716;-1.1;0.347439;1.05;0.723925;-1.08;0.608873;1.13;0.280051
NM_025225;-1.64;0.132762;-1.9;0.266441;-2.33;0.10305;-1.51;0.242129;-8.31;0.011894
NM_000446;-1.44;0.043926;-1.31;0.167825;-1.69;0.058785;-2.23;0.022812;-27.47;0.000344
NM_000941;1.89;0.00369;1.63;0.03528;-1.86;0.032414;-1.47;0.072231;-6.74;0.000712
NM_006236;-1.23;0.420793;-1.61;0.382797;-1.76;0.314922;1.07;0.963424;-1.76;0.184406
NM_005036;-1.14;0.186278;-1.46;0.054119;-1.89;0.002896;-1.29;0.057658;-5.17;0
NM_032833;-1;0.95206;-1.19;0.673843;-1.32;0.229295;-1.2;0.266422;-1.5;0.054443
